State;East-West;The first most important problem;The second most important problem;Party;Gender;Age;Reasearch Year
Schleswig-Holstein;West;Unemployment/jobs;Environmental protection;Grünen;Male;35-39;1998
Schleswig-Holstein;West;Unemployment/jobs;Peace and order/crime;SPD;Male;45-49;1998
Nordrhein-Westfalen;West;Unemployment/jobs;Peace and order/crime;CDU/CSU;Male;25-29;1998
Niedersachsen;West;Unemployment/jobs;Social gap between rich and poor;No response;Female;30-34;1998
Niedersachsen;West;Unemployment/jobs;No response;SPD;Male;35-39;1998
Nordrhein-Westfalen;West;Unemployment/jobs;No response;SPD;Male;45-49;1998
Niedersachsen;West;Unemployment/jobs;No response;SPD;Female;30-34;1998
Niedersachsen;West;Unemployment/jobs;Family/children/youth;Grünen;Female;18-20;1998
Schleswig-Holstein;West;Unemployment/jobs;Environmental protection;SPD;Female;25-29;1998
Hamburg;West;Unemployment/jobs;Peace and order/crime;SPD;Female;30-34;1998
Schleswig-Holstein;West;Unemployment/jobs;No response;SPD;Female;50-59;1998
Bayern;West;Unemployment/jobs;Morals/values;No response;Female;35-39;1998
Rheinland-Pflaz;West;Unemployment/jobs;Social gap between rich and poor;CDU/CSU;Female;45-49;1998
Baden-Württemberg;West;Unemployment/jobs;Peace and order/crime;SPD;Male;50-59;1998
Saarland;West;Unemployment/jobs;Unemployment/jobs;Grünen;Female;30-34;1998
Niedersachsen;West;Unemployment/jobs;Economic gap between East Germany and West Germany;CDU/CSU;Female;35-39;1998
Bayern;West;Unemployment/jobs;Taxes/tax increases;Another party;Female;35-39;1998
Bayern;West;Unemployment/jobs;Foreigners;No response;Female;60-69;1998
Rheinland-Pflaz;West;Unemployment/jobs;No response;CDU/CSU;Female;70+;1998
Schleswig-Holstein;West;Unemployment/jobs;Unemployment/jobs;No response;Female;50-59;1998
Nordrhein-Westfalen;West;Unemployment/jobs;Foreigners;CDU/CSU;Female;50-59;1998
Bayern;West;Unemployment/jobs;Peace and order/crime;CDU/CSU;Male;60-69;1998
Rheinland-Pflaz;West;Unemployment/jobs;EU/Europe/Euro;No response;Female;50-59;1998
Nordrhein-Westfalen;West;Taxes/tax increases;Foreigners;CDU/CSU;Male;60-69;1998
Baden-Württemberg;West;Unemployment/jobs;Peace and order/crime;CDU/CSU;Male;70+;1998
Bayern;West;Unemployment/jobs;Taxes/tax increases;CDU/CSU;Female;40-44;1998
Nordrhein-Westfalen;West;Unemployment/jobs;No response;DVU;Female;21-24;1998
Bayern;West;Peace and order/crime;Unemployment/jobs;Republikaner;Male;70+;1998
Nordrhein-Westfalen;West;Unemployment/jobs;Cutbacks of social benefits;No response;Female;40-44;1998
Nordrhein-Westfalen;West;Unemployment/jobs;Social gap between rich and poor;SPD;Male;40-44;1998
Rheinland-Pflaz;West;Unemployment/jobs;No response;SPD;Female;35-39;1998
Schleswig-Holstein;West;Unemployment/jobs;No response;SPD;Male;70+;1998
Rheinland-Pflaz;West;Cutbacks of social benefits;Pensions/old people/old-age security;CDU/CSU;Male;70+;1998
Bayern;West;Foreigners;Disenchantment with political parties and politics/politics in general/political affairs;Republikaner;Male;45-49;1998
Bayern;West;Disenchantment with political parties and politics/politics in general/political affairs;Unemployment/jobs;Grünen;Female;35-39;1998
Niedersachsen;West;Unemployment/jobs;Foreigners;SPD;Male;35-39;1998
Nordrhein-Westfalen;West;Peace and order/crime;Unemployment/jobs;CDU/CSU;Female;50-59;1998
Nordrhein-Westfalen;West;Unemployment/jobs;Taxes/tax increases;SPD;Male;25-29;1998
Bayern;West;Pensions/old people/old-age security;No response;CDU/CSU;Male;60-69;1998
Baden-Württemberg;West;Unemployment/jobs;Taxes/tax increases;SPD;Male;40-44;1998
Bayern;West;Traffic problems/road construction;No response;Grünen;Female;30-34;1998
Baden-Württemberg;West;Unemployment/jobs;No response;No response;Male;60-69;1998
Bayern;West;Unemployment/jobs;No response;SPD;Female;70+;1998
Rheinland-Pflaz;West;Unemployment/jobs;No response;CDU/CSU;Male;50-59;1998
Saarland;West;Unemployment/jobs;Family/children/youth;SPD;Female;25-29;1998
Hessen;West;Unemployment/jobs;Disenchantment with political parties and politics/politics in general/political affairs;Grünen;Male;60-69;1998
Bayern;West;Unemployment/jobs;Economic gap between East Germany and West Germany;CDU/CSU;Male;70+;1998
Baden-Württemberg;West;Unemployment/jobs;Foreigners;SPD;Male;60-69;1998
Bayern;West;Unemployment/jobs;No response;No response;Female;50-59;1998
Niedersachsen;West;Unemployment/jobs;Health care/long-term care insurance;No response;Female;40-44;1998
Schleswig-Holstein;West;Unemployment/jobs;Environmental protection;SPD;Male;25-29;1998
Baden-Württemberg;West;Unemployment/jobs;EU/Europe/Euro;No response;Female;21-24;1998
Hessen;West;Unemployment/jobs;No response;CDU/CSU;Male;70+;1998
Schleswig-Holstein;West;Unemployment/jobs;Right-wing radicals/right-wing extremists;SPD;Male;70+;1998
Bayern;West;Unemployment/jobs;Taxes/tax increases;CDU/CSU;Female;30-34;1998
Nordrhein-Westfalen;West;Unemployment/jobs;No response;SPD;Female;35-39;1998
Baden-Württemberg;West;Unemployment/jobs;No response;CDU/CSU;Male;50-59;1998
Nordrhein-Westfalen;West;Unemployment/jobs;No response;CDU/CSU;Female;70+;1998
Baden-Württemberg;West;Unemployment/jobs;Cost of living/inflation/prices;CDU/CSU;Female;70+;1998
Nordrhein-Westfalen;West;Unemployment/jobs;Taxes/tax increases;SPD;Male;70+;1998
Bayern;West;Unemployment/jobs;Economic recovery/situation;SPD;Male;50-59;1998
Berlin-West;West;Unemployment/jobs;EU/Europe/Euro;Grauen;Female;60-69;1998
Nordrhein-Westfalen;West;Unemployment/jobs;No response;CDU/CSU;Female;40-44;1998
Nordrhein-Westfalen;West;Unemployment/jobs;Morals/values;CDU/CSU;Female;50-59;1998
Niedersachsen;West;Unemployment/jobs;Asylum seekers/asylum seekers;SPD;Male;40-44;1998
Niedersachsen;West;Unemployment/jobs;Wages/working time regulations;SPD;Male;50-59;1998
Niedersachsen;West;Unemployment/jobs;Pensions/old people/old-age security;No response;Female;30-34;1998
Nordrhein-Westfalen;West;Unemployment/jobs;No response;FDP;Male;35-39;1998
Bayern;West;Unemployment/jobs;Social gap between rich and poor;SPD;Male;50-59;1998
Bayern;West;Unemployment/jobs;No response;SPD;Female;21-24;1998
Hamburg;West;Peace and order/crime;Pensions/old people/old-age security;SPD;Female;70+;1998
Baden-Württemberg;West;Unemployment/jobs;Pensions/old people/old-age security;SPD;Female;70+;1998
Hessen;West;Unemployment/jobs;No response;SPD;Male;40-44;1998
Schleswig-Holstein;West;Unemployment/jobs;Foreigners;SPD;Female;70+;1998
Niedersachsen;West;Unemployment/jobs;Social gap between rich and poor;CDU/CSU;Female;25-29;1998
Baden-Württemberg;West;Unemployment/jobs;Health care/long-term care insurance;SPD;Female;50-59;1998
Nordrhein-Westfalen;West;Unemployment/jobs;Pensions/old people/old-age security;SPD;Female;30-34;1998
Hamburg;West;Disenchantment with political parties and politics/politics in general/political affairs;No response;CDU/CSU;Male;40-44;1998
Baden-Württemberg;West;Unemployment/jobs;Social gap between rich and poor;Grünen;Female;30-34;1998
Nordrhein-Westfalen;West;Peace and order/crime;Social gap between rich and poor;CDU/CSU;Male;60-69;1998
Rheinland-Pflaz;West;Unemployment/jobs;Environmental protection;Grünen;Male;25-29;1998
Baden-Württemberg;West;Unemployment/jobs;No response;CDU/CSU;Female;45-49;1998
Baden-Württemberg;West;Unemployment/jobs;Taxes/tax increases;No response;Female;70+;1998
Berlin-West;West;Unemployment/jobs;No response;CDU/CSU;Female;70+;1998
Nordrhein-Westfalen;West;Unemployment/jobs;Other problems;CDU/CSU;Female;60-69;1998
Hamburg;West;Unemployment/jobs;Foreigners;DVU;Male;30-34;1998
Niedersachsen;West;Unemployment/jobs;Peace and order/crime;Grünen;Male;35-39;1998
Nordrhein-Westfalen;West;Unemployment/jobs;EU/Europe/Euro;Grünen;Male;50-59;1998
Hessen;West;Unemployment/jobs;Social gap between rich and poor;CDU/CSU;Male;35-39;1998
Rheinland-Pflaz;West;Unemployment/jobs;Taxes/tax increases;SPD;Male;35-39;1998
Nordrhein-Westfalen;West;Pensions/old people/old-age security;EU/Europe/Euro;CDU/CSU;Female;70+;1998
Nordrhein-Westfalen;West;No response;No response;Grünen;Male;30-34;1998
Nordrhein-Westfalen;West;Unemployment/jobs;Pensions/old people/old-age security;Grünen;Female;60-69;1998
Nordrhein-Westfalen;West;Unemployment/jobs;Social gap between rich and poor;Grünen;Male;60-69;1998
Nordrhein-Westfalen;West;Unemployment/jobs;No response;CDU/CSU;Female;45-49;1998
Baden-Württemberg;West;Unemployment/jobs;Economic recovery/situation;CDU/CSU;Male;45-49;1998
Bayern;West;Taxes/tax increases;Peace and order/crime;CDU/CSU;Female;35-39;1998
Bayern;West;Morals/values;Unemployment/jobs;CDU/CSU;Male;40-44;1998
